counter,mission_link,mission_title,launch_date, launch_type,payload_text,payload_link,launch_remarks
26,https://www.isro.gov.in/mission_PSLV_C24_IRNSS_1B.html,PSLV-C24/IRNSS-1B,Apr 04  2014,unknown,IRNSS-1B,https://www.isro.gov.in/IRNSS_1B.html,unknown
25,https://www.isro.gov.in/mission_PSLV_C25.html,PSLV-C25,Nov 05  2013,unknown,Mars Orbiter Mission Spacecraft,https://www.isro.gov.in/MarsOrbiterMissionSpacecraft.html,unknown
24,https://www.isro.gov.in/mission_PSLV_C22.html,PSLV-C22/IRNSS-1A,Jul 01  2013,unknown,IRNSS-1A,https://www.isro.gov.in/IRNSS_1A.html,unknown
23,https://www.isro.gov.in/mission_PSLV_C20.html,PSLV-C20/SARAL,Feb 25  2013,unknown,SARAL,https://www.isro.gov.in/SARAL.html,unknown
22,https://www.isro.gov.in/mission_PSLV_C21.html,PSLV-C21,Sep 09  2012,unknown,SARAL,unknown,unknown
21,https://www.isro.gov.in/mission_PSLV_C19.html,PSLV-C19/RISAT-1,Apr 26  2012,unknown,RISAT-1,https://www.isro.gov.in/RISAT_1.html,unknown
20,https://www.isro.gov.in/mission_PSLVC18.html,PSLV-C18/Megha-Tropiques,Oct 12  2011,unknown,Megha-Tropiques,https://www.isro.gov.in/Megha_Tropiques.html,unknown
19,https://www.isro.gov.in/mission_PSLVC17.html,PSLV-C17/GSAT-12,Jul 15  2011,unknown,GSAT-12,https://www.isro.gov.in/GSAT_12.html,unknown
18,https://www.isro.gov.in/mission_PSLVC16.html,PSLV-C16/RESOURCESAT-2,Apr 20  2011,unknown,RESOURCESAT-2,https://www.isro.gov.in/RESOURCESAT_2.html,unknown
17,https://www.isro.gov.in/mission_PSLV_C15_CARTOSAT_2B.html,PSLV-C15/CARTOSAT-2B,Jul 12  2010,unknown,CARTOSAT-2B,https://www.isro.gov.in/CARTOSAT_2B.html,unknown
16,https://www.isro.gov.in/mission_PSLV_C14_OCEANSAT_2.html,PSLV-C14 / OCEANSAT-2,Sep 23  2009,unknown,Oceansat-2,https://www.isro.gov.in/Oceansat_2.html,unknown
15,https://www.isro.gov.in/mission_PSLV_C12_RISAT_2.html,PSLV-C12 / RISAT-2,Apr 20  2009,unknown,RISAT-2,https://www.isro.gov.in/RISAT_2.html,unknown
14,https://www.isro.gov.in/mission_PSLV_C11.html,PSLV-C11,Oct 22  2008,unknown,Chandrayaan-1,https://www.isro.gov.in/Chandrayaan_1.html,unknown
13,https://www.isro.gov.in/PSLV_C9_Cartosat_2A.html,PSLV-C9 / CARTOSAT – 2A,Apr 28  2008,unknown,CARTOSAT – 2A,https://www.isro.gov.in/CARTOSAT_2A.html,unknown
12,https://www.isro.gov.in/mission_PSLV_C10.html,PSLV-C10,Jan 21  2008,unknown,CARTOSAT – 2A,unknown,unknown
11,https://www.isro.gov.in/mission_PSLV_C8.html,PSLV-C8,Apr 23  2007,unknown,CARTOSAT – 2A,unknown,unknown
10,https://www.isro.gov.in/mission_PSLV_C7_CARTOSAT_2_SRE_1.html,PSLV-C7 / CARTOSAT-2 / SRE-1,Jan 10  2007,unknown,CARTOSAT-2,https://www.isro.gov.in/CARTOSAT_2.html,unknown
9,https://www.isro.gov.in/mission_PSLV_C6_CARTOSAT_1_HAMSAT.html,PSLV-C6/CARTOSAT-1/HAMSAT,May 05  2005,unknown,CARTOSAT-1,https://www.isro.gov.in/CARTOSAT_1.html,unknown
8,https://www.isro.gov.in/mission_PSLV_C5.html,PSLV-C5 /RESOURCESAT-1,Oct 17  2003,unknown,IRS-P6 / RESOURCESAT-1,https://www.isro.gov.in/RESOURCESAT_1.html,unknown
7,https://www.isro.gov.in/mission_PSLV_C4.html,PSLV-C4 /KALPANA-1,Sep 12  2002,unknown,KALPANA-1,https://www.isro.gov.in/KALPANA_1.html,unknown
6,https://www.isro.gov.in/mission_PSLV_C3.html,PSLV-C3 / TES,Oct 22  2001,unknown,The Technology Experiment Satellite (TES),https://www.isro.gov.in/TES.html,unknown
5,https://www.isro.gov.in/mission_PSLV_C2.html,PSLV-C2/IRS-P4,May 26  1999,unknown,Oceansat(IRS-P4),https://www.isro.gov.in/Oceansat(IRS_P4).html,unknown
4,https://www.isro.gov.in/mission_PSLV_C1.html,PSLV-C1 / IRS-1D,Sep 29  1997,unknown,IRS-1D,https://www.isro.gov.in/IRS_1D.html,unknown
3,https://www.isro.gov.in/mission_PSLV_D3.html,PSLV-D3 / IRS-P3,Mar 21  1996,unknown,IRS-P3,https://www.isro.gov.in/IRS_P3.html,unknown
2,https://www.isro.gov.in/mission_PSLV_D2.html,PSLV-D2,Oct 15  1994,unknown,IRS-P2,https://www.isro.gov.in/IRS_P2.html,unknown
1,https://www.isro.gov.in/mission_PSLV_D1.html,PSLV-D1,Sep 20  1993,unknown,IRS-P2,unknown,Mission Unsuccessful
